CCS_CATEGORY,CCS_DESCRIPTION,DRUG_NAME,PATIENTS
2,Septicemia,URETROPIC TABLETS,11
2,Septicemia,"SODIUM CHLORIDE INJECTION ""Y.F.",111
2,Septicemia,AMPOLIN INJECTION 500MG,1
2,Septicemia,CODEINE PHOSPHATE TABLETS 30MG,1
2,Septicemia,CODEINE PHOSPHATE INJECTION 15MG/ML,3
2,Septicemia,MORPHINE HYDROCHLORIDE INJECTION 10MG/ML,2
2,Septicemia,"BISACODYL SUPPOSITORIES ""YUNG SHIN",4
2,Septicemia,"AMPICILLIN CAPSULES 500MG ""VPP",1
2,Septicemia,"PANACAL INJECTION ""PANBIOTIC",7
2,Septicemia,SPIRON TABLETS,2
2,Septicemia,"MAGNESIUM OXIDE TABLETS 250MG ""VPP",6
2,Septicemia,RIFAMPIN CAPSULES 300MG,1
2,Septicemia,TOPSYM CREAM (FLUOCINONIDE),1
2,Septicemia,"PHENYTOIN TABLETS 100MG""VPP",2
2,Septicemia,"TRICODEX CREAM ""C.C.P.",12
2,Septicemia,KINGMIN OPHTHALMIC SOLUTION (SULFAMETHOXAZOLE),1
2,Septicemia,POTASSIUM CHLORIDE INJECTION 15%,6
2,Septicemia,"DICLOCIN CAPSULES ""KINGDOM"" (DICLOXACILLIN)",2
2,Septicemia,GLIDIAB TABLETS 5MG(GLIPIZIDE) ,6
2,Septicemia,"YONFUPHARM"" IBUPROFEN TABLETS",14
2,Septicemia,B. &N. BACINEOCIN OINTMENT,4
2,Septicemia,"MAGNESIUM OXIDE TABLETS ""KINGDOM",10
2,Septicemia,"DEXTROSE AND SODIUM CHLORIDE INJECTION 5%/0.9% ""Y.F.",4
2,Septicemia,BRENCO TABLETS (FENOTEROL),1
2,Septicemia,0.45% SODIUM CHLORIDE INJECTION,2
2,Septicemia,UCEFA CAPSULES 500MG (CEFADROXIL),2
2,Septicemia,"MYCOSTEN CREAM 10MG/GM (CLOTRIMAZOLE) ""SINPHAR",6
2,Septicemia,"DEXTROSE 5% AND SODIUM CHLORIDE 0.225% INJECTION ""Y.F.",1
2,Septicemia,"SULFASIL CREAM 1% (SILVER SULFADIAZINE) ""VPP",5
2,Septicemia,SABS INJECTION FOR IV INFUSION 5MG/ML,8
2,Septicemia,"ISOBIDE TABLETS 10MG ""WEIDAR",2
2,Septicemia,ROLIKAN INJECTION (SODIUM BICARBONATE),1
2,Septicemia,"SOMIN TABLETS 2MG (DEXCHLORPHENIRAMINE) ""YUNG SHIN",2
2,Septicemia,"ROSIS IV INJECTION ""VPP",9
2,Septicemia,"SULPIN F.C. TABLETS 200MG ""S.T."" (SULPIRIDE)",4
2,Septicemia,"SUCRAL TABLETS 500MG ""VPP"" ",2
2,Septicemia,"SULINTON TABLETS 200MG ""Y.S.""(SULINDAC)",1
2,Septicemia,COUGH MIXTURE,4
2,Septicemia,"DOPAMIN (DOPAMINE) INJECTION 40MG/ML ""VPP",1
2,Septicemia,TEIRIA GEL 50MG/GM(ETOFENAMATE),10
2,Septicemia,SOLOFEN TABLETS 10MG (BACLOFEN),13
2,Septicemia,"0.45% SODIUM CHLORIDE INJECTION ""Y.F.",2
2,Septicemia,"VANCO POWDER FOR INJECTION (VANCOMYCIN) ""GENTLE",9
2,Septicemia,"BIPERIN TABLETS 2MG (BIPERIDEN) ""UNION",1
2,Septicemia,"THROUGH F.C. TABLETS ""C.M.""(SENNOSIDES)",29
2,Septicemia,"SWITANE TABLET 2MG ""SWISS"" (TRIHEXYPHENIDYL)",4
2,Septicemia,TAZOCIN LYO-INJECTION,4
2,Septicemia,TINTEN TABLETS 500MG,114
2,Septicemia,"KINTEC TABLETS 20MG ""KINGDOM""(ENALAPRIL)",2
2,Septicemia,AMPRAZO TABLETS 0.5 MG (ALPRAZOLAM),1
2,Septicemia,"ESZO TABLETS 2MG""S.T.""(ESTAZOLAM)",17
2,Septicemia,"MEPRON POWDER FOR INJECTION 0.04GM ""GENTLE",2
2,Septicemia,"LINDACIN CAPSULES 150MG ""S.T."" (CLINDAMYCIN)",1
2,Septicemia,DELIBS F.C TABLETS 50MG,5
2,Septicemia,ZINE ORABASE 0.1%,2
2,Septicemia,"CLONOPAM TABLETS 0.5MG ""KINGDOM""(CLONAZEPAM)",5
2,Septicemia,"NOSMA SUSTAINED-RELEASE   MICROSPHERES CAP. 125MG ""WECAM",9
2,Septicemia,"METICORT TABLETS 4MG ""KINGDOM"" (METHYLPREDNISOLONE)",1
2,Septicemia,"DENOSIN FILM-COATED TABLETS 5MG ""LOTUS",3
2,Septicemia,ACTEIN EFFERVESCENT TABLETS 600MG,13
2,Septicemia,DIPACHRO S.R. FILM COATED TABLETS 500MG,1
2,Septicemia,"U-CHU"" TONEC TABLETS 100MG (ACEC LOFENAC)",1
2,Septicemia,SYNTAM F.C. TABLETS 1200MG,5
2,Septicemia,Laston Injection 30 mg/ml (Ketorolac Tromethamine),9
2,Septicemia,MOPRIDE F.C. TABLETS 5MG,10
2,Septicemia,SPERSIN OINTMENT,9
2,Septicemia,Gastroloc Gastro-resistant Tablets 40mg,1
2,Septicemia,Flusine Tablets,2
2,Septicemia,GENTERMAY CREAM,1
2,Septicemia,BESMATE INHALATION SOLUTION,1
2,Septicemia,UTAPINE F.C. TABLETS 25MG“UNION”,1
2,Septicemia,NOREPINEPHRINE INJECTION 4MG/4ML“TAI YU”,6
2,Septicemia,"BUTYSCOL INJECTION ""STANDARD"" (SCOPOLAMINE)",3
2,Septicemia,VOREN SUPPOSITORIES 12.5MG (DICLOFENAC),1
2,Septicemia,"STAZOLIN INJ. ""STANDARD"" (CEFAZOLIN)",6
2,Septicemia,SINTRIX FOR INJECTION 1G (CEFTRIAXONE),23
2,Septicemia,"LACTUL SYRUP 666MG/ML (LACTULOSE) ""SINPHAR",4
2,Septicemia,"FLUPINE TABLETS 0.25MG ""JOHNSON"" (FLUDIAZEPAM)",2
2,Septicemia,PLETAAL TAB. 50,8
2,Septicemia,"EXDILA LIQUID  5UG/ML ""CENTER",1
2,Septicemia,"INDOMEN SUPPOSITORIES ""YUNG SHIN",18
2,Septicemia,CYPRODIN TABLETS,1
2,Septicemia,PROMERAN F.C. TABLETS 3.84MG ,3
2,Septicemia,PROMERAN INJECTION,6
2,Septicemia,DEXAMETHASONE INJECTION,1
2,Septicemia,"VITAMIN K1 INJECTION ""N.K.",1
2,Septicemia,GENTAMYCIN INJECTION,10
2,Septicemia,PROPRANOLOL TABLETS 10MG ,1
2,Septicemia,"CORTISONE ACETATE TABLETS 25MG ""PING LAWER",2
2,Septicemia,"UNDIARRHEA CAPSULES""YUNG SHIN"" (LOPERAMIDE)",2
2,Septicemia,"SILENCE TABLETS ""YUNG SHIN""(LORAZEPAM)",4
2,Septicemia,"PONSTAL CAPSULES 250MG  ""SINPHAR""(MEFENAMIC ACID)",2
2,Septicemia,"SOLU-TISONE INJECTION 100MG ""C.C.P."" (HYDROCORTISONE)",3
2,Septicemia,"NINCORT ORAL GEL (TRIAMCINOLONE) ""SINPHAR",1
2,Septicemia,"CIMETIN TABLETS (CIMETIDINE) ""JOHNSON",2
2,Septicemia,"LYO-POVIGEN INJECTION ""C.C.P.",2
2,Septicemia,"MORCASIN TABLETS ""SINPHAR",1
2,Septicemia,"CEFADROXIL CAPSULES 500MG ""S.T.",3
2,Septicemia,NOVAMIN INJECTION 5MG/ML (PROCHLORPERAZINE),3
2,Septicemia,"FUROXIME FOR INJECTION ""S.T."" (CEFUROXIME)",6
2,Septicemia,CEFA INJECTION (CEPHAZOLIN),3
2,Septicemia,CEFUROXIME INJECTION 750MG,2
2,Septicemia,"LATOL F.C.TABLET 200MG ""STANDARD",1
2,Septicemia,"COMPESOLON TABLETS 5MG ""PINE LAWER"" (PREDNISOLONE)",5
2,Septicemia,"MUSCO TABLETS 30MG ""STANDARD"" (AMBROXOL HYDROCHLORIDE)",18
2,Septicemia,"NIDOLIUM TABLETS 10MG ""SINPHAR""(DOMPERIDONE)",2
2,Septicemia,"CLEO EYE DROP 3MG/ML (TOBRAMYCIN) ""PURZER",6
2,Septicemia,"AXOL LIQUID 3MG/ML (AMBROXOL) ""YUNG SHIN",1
2,Septicemia,"FOLACIN F.C. TABLETS 5MG (FOLIC ACID) ""JOHNSON",10
2,Septicemia,ASMALIN TABLETS 2.5MG (FENOTEROL),3
2,Septicemia,BOKEY ENTERIC-MICROENCAPSULATED CAPSULES 100MG (ASPIRIN)  ,3
2,Septicemia,"WELIZEN F.C. TABLETS 20MG ""N.K.",1
2,Septicemia,"TATUMCEF POWDER FOR INJECTION""C.C.P.C."" (CEFTAZIDIME)",4
2,Septicemia,"ESTROMON F.C.TABLETS 0.625MG ""STANDARD",1
2,Septicemia,FLUR DI FEN PATCH  40MG/12GM,2
2,Septicemia,"LIQUID BROWN MIXTURE (WITH OPIUM) ""CENTER",10
2,Septicemia,"U-Ca soft capsule 0.25mcg (CALCITRIOL) ""SINPHAR",2
2,Septicemia,"CYPROMIN SOLUTION 0.4MG/ML ""CENTER",1
2,Septicemia,CAMADOL CAPSULES 50MG (TRAMADOL HCL),1
2,Septicemia,"ASCOTYL ENTERIC-MICROENCAPSULATED CAPSULES 100MG ""STANDARD",9
2,Septicemia,BUTANYL INHALATION SOLUTION 2.5MG/ML (TERBUTALINE SULFATE),7
2,Septicemia,"IPRATRAN INHALATION SOLUTION 0.25MG/ML ""S.T.""(IPRATROPIUM BROMIDE)",6
2,Septicemia,"BETHANECHOL TABLETS 25MG ""JOHNSON",3
2,Septicemia,"RICH CAPSULES 30MG  ""N.K",2
2,Septicemia,"TELIN S.R TABLETS 200MG ""STANDARD",2
2,Septicemia,"MIDORINE TABLETS ""P.L",2
2,Septicemia,CEFLOUR FILM COATED TABLETS 250MG,4
2,Septicemia,"CEFIXMYCIN  CAPSULE 100MG ""YUNG SHIN",4
2,Septicemia,"ASMATIN TABLETS ""SINPHAR",5
2,Septicemia,PROTASE ENTERIC COATED CAPSULES,1
2,Septicemia,DINIDOL S.C. TABLETS 25MG,2
2,Septicemia,MIDATIN INJECTION 5MG/ML,3
2,Septicemia,"CODICON-U CAPSULES ""SINPHAR",6
2,Septicemia,CRAVIT F.C. TAB 500MG,2
2,Septicemia,OCILLINA POWDER FOR INJECTION,2
2,Septicemia,CITAZOL TABLETS 50MG“STANDARD”,1
2,Septicemia,OXBU EXTENDED-RELEASE TABLETS 5MG,1
2,Septicemia,XYZINE F.C. TABLETS 5MG,1
2,Septicemia,PIRACETAM ORAL SOLUTION“CENTER”,7
2,Septicemia,MOSAPULIN FILM COATED TABLETS 5MG,1
2,Septicemia,ALLEDINE F.C. TABLETS 180MG,1
2,Septicemia,"LORAPSEUDO SR F.C. TABLETS 5/120MG ""CYH",7
2,Septicemia,"GLIPIZIDE TABLETS 5MG ""CYH",2
2,Septicemia,RIVOTRIL 0.5MG TABLET,8
2,Septicemia,SLOW-K TABLETS 600MG,6
2,Septicemia,FUNGIZONE INTRAVENOUS,2
2,Septicemia,KALIMATE POWDER,3
2,Septicemia,CORDARONE INJECTION,1
2,Septicemia,DEPAKINE GASTRO-RESISTANT TABLET 200MG,4
2,Septicemia,DEPAKINE ORAL SOLUTION,13
2,Septicemia,IODOSORB POWDER,9
2,Septicemia,CONCOR 5 MG,3
2,Septicemia,NORMACOL PLUS GRANULES,3
2,Septicemia,"FORTUM 500MG FOR INJECTION ""GLAXO",4
2,Septicemia,METRONIDAZOL FRESENIUS,2
2,Septicemia,CIPROXIN INF. SOL. 50ML/100MG;100ML/200MG,3
2,Septicemia,ATROVENT NEBULISER SOLUTION 0.5MG/2ML IN UNIT-DOSE VIALS,1
2,Septicemia,PK-MERZ FILM-COATED TABLETS,5
2,Septicemia,TIENAM INJECTION,3
2,Septicemia,SINEMET 25/250 TABLETS,1
2,Septicemia,CLARINASE REPETABS TABLETS,3
2,Septicemia,DILATREND TABLETS 25MG,1
2,Septicemia,IMDUR CONTROLLED-RELEASE TABLETS 60MG,8
2,Septicemia,GLUCOBAY TABLETS 50MG,12
2,Septicemia,NITROSTAT 0.6MG,1
2,Septicemia,MINIRIN SOLUTION FOR INJECTION 4MCG/ML,1
2,Septicemia,SUCRATE GEL SUSPENSION,1
2,Septicemia,NORVASC TABLETS 5MG,18
2,Septicemia,MAXIPIME INJ. (CEFEPIME)500MG,6
2,Septicemia,TARGOCID 200MG FOR INJECTION (I.M.I.V.),3
2,Septicemia,COZAAR F.C.TAB. 50MG,1
2,Septicemia,DILATREND TAB. 6.25MG,1
2,Septicemia,PROCTOSEDYL OINTMENT,4
2,Septicemia,TOPAMAX FILM-COATED TABLETS 100MG,13
2,Septicemia,TOPAMAX FILM-COATED TABLETS 25MG,13
2,Septicemia,SEROQUEL TABLETS 25MG,8
2,Septicemia,AUGMENTIN 1G F.C. TABLETS,2
2,Septicemia,AMARYL 2.0 TABLETS,8
2,Septicemia,APROVEL 300MG FILM-COATED TABLETS,5
2,Septicemia,PLAVIX FILM-COATED TABLETS 75MG,8
2,Septicemia,ALLEGRA TABLETS 180MG,6
2,Septicemia,BEROTEC N 100MCG/PUFF METERED AEROSOL,3
2,Septicemia,AMINOPLASMAL- 5%  E,2
2,Septicemia,FLAMAZINE CREAM,1
2,Septicemia,ACTOS TABLETS 30MG,5
2,Septicemia,NEXIUM TAB. 40MG,6
2,Septicemia,AVELOX FILM-COATED TABLET 400MG,4
2,Septicemia,"SMECTA, POWDER FOR ORAL SUSPENSION",3
2,Septicemia,DIOVAN FILM-COATED TABLETS 160MG,6
2,Septicemia,SERETIDE 250 EVOHALER,9
2,Septicemia,AVELOX INFUSION SOLUTION 400MG/250ML,4
2,Septicemia,CRAVIT IV SOLUTION FOR INFUSION 5MG/ML,8
2,Septicemia,INVANZ 1G INJECTION,7
2,Septicemia,ULTRACET TABLETS,6
2,Septicemia,ARCOXIA TABLET 60MG,1
2,Septicemia,GLIVEC FILM-COATED TABLETS 100MG,4
2,Septicemia,OTSUKA ABILIFY TABLETS 5MG,2
2,Septicemia,NEXIUM POWDER FOR INJECTION AND INFUSION 40MG,7
2,Septicemia,CRESTOR 10MG FILM-COATED TABLETS,2
2,Septicemia,VOLUVEN 6% SOLUTION FOR INFUSION,1
2,Septicemia,FLUMARIN FOR INJECTION 1G,3
2,Septicemia,CADUET 5MG/10MG TABLET,1
2,Septicemia,Harnalidge D tablets 0.2mg,5
2,Septicemia,JANUVIA 100 MG F.C. TABLETS,8
2,Septicemia,SPRYCEL FILM-COATED TABLETS 50MG,6
2,Septicemia,SEROQUEL XR TM 300 MG EXTENDED-RELEASE TABLETS,4
2,Septicemia,Carvedilol HEXAL Tablets 25mg,13
2,Septicemia,"SPIRIVA RESPIMAT 2.5MCG, SOLUTION FOR INHALATION",9
2,Septicemia,ONGLYZA FILM-COATED TABLETS 5MG,1
2,Septicemia,CURAM FILM-COATED TABLETS 625MG,1
2,Septicemia,"Curam powder for injection 500/100 mg, 1000/200 mg",4
2,Septicemia,Ceftriaxone Sandoz powder for IV Injection,38
2,Septicemia,RECORMON SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 2000IU,1
2,Septicemia,"FILGRASTIM INJECTION M300,300?g/0.7ML",3
2,Septicemia,"LANTUS 100U/ML, SOLUTION FOR INJECTION",11
2,Septicemia,NOVORAPID PENFILL 3ML 100U/ML,3
2,Septicemia,ACTRAPID  100 I.U./ML,26
2,Septicemia,INSULATARD,2
2,Septicemia,"PHYTONADIONE INJECTION 10MG ""TBC",1
2,Septicemia,"CHLORPHENIRAMINE MALEATE INJECTION 5MG ""SINTONG",4
2,Septicemia,GLUCOSE INJECTION 5%,12
2,Septicemia,MENPHENCALA LOTION,1
2,Septicemia,NEOMYCIN CAP,1
2,Septicemia,VITAGEN INJECTION 5%,1
2,Septicemia,VITAGEN INJECTION 50%,2
2,Septicemia,"PECOLIN SUSPENSION ""STANDARD",4
2,Septicemia,ANNA F COATED TABLETS,8
2,Septicemia,UROPRIN COATED TABLETS 100MG,1
2,Septicemia,TAEE S.C. TABLETS 5MG,1
2,Septicemia,"METROZOLE ORAL S.C. TABLETS ""JOHNSON",3
2,Septicemia,"SODIUM BICARBONATE INJECTION ""CHI SHENG",1
2,Septicemia,"PROCHLORPERAZINE MALEATE TABLETS ""JOHNSON",3
2,Septicemia,CALOMIDE S.C. TABLETS 250UG,1
3,Othbactinf,URETROPIC TABLETS,12
3,Othbactinf,"SODIUM CHLORIDE INJECTION ""Y.F.",3
3,Othbactinf,"BISACODYL SUPPOSITORIES ""YUNG SHIN",6
3,Othbactinf,HERBESSER TABLETS,3
3,Othbactinf,SPIRON TABLETS,2
3,Othbactinf,"HYDROXOCOBALAMIN INJECTION ""TAI YU",3
3,Othbactinf,"COLD CAPSULES ""SWISS BRAND",1
3,Othbactinf,KINGMIN OPHTHALMIC SOLUTION (SULFAMETHOXAZOLE),2
3,Othbactinf,"YONFUPHARM"" IBUPROFEN TABLETS",3
3,Othbactinf,"CIVIDOID GEL (HEPARINOID) ""SINPHAR",1
3,Othbactinf,"MAGNESIUM OXIDE TABLETS ""KINGDOM",10
3,Othbactinf,UCEFA CAPSULES 500MG (CEFADROXIL),3
3,Othbactinf,"DEXTROSE 5% AND SODIUM CHLORIDE 0.225% INJECTION ""Y.F.",1
3,Othbactinf,"ISOBIDE TABLETS 10MG ""WEIDAR",1
3,Othbactinf,"SOMIN TABLETS 2MG (DEXCHLORPHENIRAMINE) ""YUNG SHIN",3
3,Othbactinf,COUGH MIXTURE,1
3,Othbactinf,"CHLORAMPHENICOL OPHTHALMIC SOLUTION 0.25% ""SYNMOSA",1
3,Othbactinf,TEIRIA GEL 50MG/GM(ETOFENAMATE),6
3,Othbactinf,SOLOFEN TABLETS 10MG (BACLOFEN),1
3,Othbactinf,TEGRETOL TABLETS 200MG (CARBAMAZEPINE),1
3,Othbactinf,"THROUGH F.C. TABLETS ""C.M.""(SENNOSIDES)",36
3,Othbactinf,CINOLONE F.C. TABLET 250MG,1
3,Othbactinf,TINTEN TABLETS 500MG,5
3,Othbactinf,"COLCHICINE TABLETS 0.5MG ""S.T.",2
3,Othbactinf,"TERADRIN TABLETS 2MG ""S.Y."" (TERAZOSIN)",3
3,Othbactinf,"TERAZOSIN TABLETS 2MG ""U-CHU",2
3,Othbactinf,"U-CHU"" ACEO CAPSULES RETARD 90MG",3
3,Othbactinf,"CLONOPAM TABLETS 0.5MG ""KINGDOM""(CLONAZEPAM)",3
3,Othbactinf,"CLONOPAM TABLETS 2MG ""KINGDOM",2
3,Othbactinf,"NOSMA SUSTAINED-RELEASE   MICROSPHERES CAP. 125MG ""WECAM",2
3,Othbactinf,ACTEIN EFFERVESCENT TABLETS 600MG,14
3,Othbactinf,MOPRIDE F.C. TABLETS 5MG,1
3,Othbactinf,"LACTUL SYRUP 666MG/ML (LACTULOSE) ""SINPHAR",1
3,Othbactinf,"FLUPINE TABLETS 0.25MG ""JOHNSON"" (FLUDIAZEPAM)",5
3,Othbactinf,CINNAZINE TABLETS(,1
3,Othbactinf,CYPRODIN TABLETS,1
3,Othbactinf,PROMERAN F.C. TABLETS 3.84MG ,7
3,Othbactinf,"AMOXICILLIN CAPSULES ""YUNG SHIN",3
3,Othbactinf,"AMIZIDE TABLETS ""STANDARD",1
3,Othbactinf,"LATOL F.C.TABLET 200MG ""STANDARD",4
3,Othbactinf,"COMPESOLON TABLETS 5MG ""PINE LAWER"" (PREDNISOLONE)",1
3,Othbactinf,ALAT CAPSULES 10MG (NIFEDIPINE),5
3,Othbactinf,"FOLACIN F.C. TABLETS 5MG (FOLIC ACID) ""JOHNSON",2
3,Othbactinf,"KETOCONAZOLE CREAM 20MG/GM ""SINPHAR",2
3,Othbactinf,"LABTAL F.C. TABLETS 200MG (LABETALOL) ""SINPHAR",2
3,Othbactinf,GLIBUDON F. C. TABLETS 500MG(METFORMIN HYDROCHLORIDE),1
3,Othbactinf,"BETHANECHOL TABLETS 25MG ""JOHNSON",1
3,Othbactinf,CEFLOUR FILM COATED TABLETS 250MG,1
3,Othbactinf,ZOLPI F.C  TABLETS 10MG,1
3,Othbactinf,GLYCOPYRODYN TABLETS 1MG,3
3,Othbactinf,NILASEN TABLETS 24MG,1
3,Othbactinf,CRAVIT F.C. TAB 500MG,2
3,Othbactinf,CENZOFT CONCENTRATE SOLUTION 20 MG/ML“CENTER”(60 ML),2
3,Othbactinf,PIRACETAM ORAL SOLUTION“CENTER”,2
3,Othbactinf,RIVOTRIL 2MG TABLET,8
3,Othbactinf,LANOXIN DIGOXIN TABLETS 0.25MG B.P.,7
3,Othbactinf,CORDARONE TABLETS,7
3,Othbactinf,DEPAKINE ORAL SOLUTION,5
3,Othbactinf,CONCOR 5 MG,6
3,Othbactinf,IMDUR CONTROLLED-RELEASE TABLETS 60MG,2
3,Othbactinf,NORVASC TABLETS 5MG,16
3,Othbactinf,MAXIPIME INJ. (CEFEPIME)500MG,2
3,Othbactinf,SABRIL FILM-COATED TABLETS 500MG,1
3,Othbactinf,DEPAKINE CHRONO 500MG FILM COATED TABLETS,1
3,Othbactinf,SEFTEM CAPSULES,1
3,Othbactinf,KLARICID FILM-COATED 500MG TABLETS,2
3,Othbactinf,TOPAMAX FILM-COATED TABLETS 100MG,13
3,Othbactinf,SEROQUEL TABLETS 25MG,5
3,Othbactinf,RISPERDAL FILM COATED TABLET 1MG,1
3,Othbactinf,LIPITOR FILM-COATED TABLETS 10MG,10
3,Othbactinf,PLAVIX FILM-COATED TABLETS 75MG,10
3,Othbactinf,MICARDIS TABLETS 40MG,2
3,Othbactinf,CELEBREX CAPSULE 200MG,2
3,Othbactinf,SERETIDE 250 ACCUHALER INHALATION POWDER 60DOSE,1
3,Othbactinf,NEXIUM TAB. 40MG,11
3,Othbactinf,AVELOX FILM-COATED TABLET 400MG,1
3,Othbactinf,STARLIX FILM-COATED TABLETS 120MG,1
3,Othbactinf,ZANIDIP F.C TAB. 10MG,2
3,Othbactinf,DIOVAN FILM-COATED TABLETS 160MG,2
3,Othbactinf,SERETIDE 250 EVOHALER,1
3,Othbactinf,ZADITEN 0.25MG/ML EYE DROPS,2
3,Othbactinf,KEPPRA FILM-COATED TABLETS 500MG,10
3,Othbactinf,ULTRACET TABLETS,3
3,Othbactinf,CONCOR 1.25,2
3,Othbactinf,GASTER D TABLETS 20MG,1
3,Othbactinf,TAKEPRON OD 30MG TABLETS,1
