drug_no,drug_name
A000822157,"FUSOCO SYRUP ""L.S."
A000842100,"ENPURIN S.C. TABLETS ""VEI MIN"
A000844100,TRANCOLON F.C. TABLETS 7.5MG (MEPENZOLATE BROMIDE)
A0008441G0,TRANCOLON F.C. TABLETS 7.5MG (MEPENZOLATE BROMIDE)
A000849100,"ERYTHROMYCIN ESTOLATE CAPSULES ""LITA"
A000862100,"ANTACID-C TABLETS ""C.T."
A000863100,ISOXINE TABLETS
A000865209,"BLUTON INJECTION 10% ""C.C.P."
A000865277,"BLUTON INJECTION 10% ""C.C.P."
A000886100,P.T.D. SUGAR COATED TABLETS
A000895100,TRANZEPAM TABLETS
A000897212,"PROTHIAMIN B12 INJECTION ""SINTON"
A000900100,ADREBLOCK TABLETS
A000902100,HEXANICIT TABLETS
A000912100,"INZUTOLIN CAPSULES 25MG (INDOMTHACIN) ""C.T."
A000913100,"DECANS TABLETS ""C.M."
A000917100,DENFLU CAPSULES
A000933100,"PREDNISOLONE TABLETS "" NAN YA"
A000985100,DOZIGEN S.C. TABLETS 50MG
A000998100,LEDERSCON TABLETS
A001001100,DANZEN TABLETS
A0010011G0,DANZEN TABLETS
A001027277,BLUTON-SALINE INJECTION
A001041100,SANTIN TABLETS
A001045100,"VESSELON CAPSULES ""H.L."
A001046100,MAGNESIUM OXIDE TABLETS
A001047100,URETROPIC TABLETS
A0010471G0,URETROPIC TABLETS
A001048118,TECOSIN SYRUP
A001048199,TECOSIN SYRUP
A001050277,"DEXTROSE INJECTION 10% ""ASTAR"
A001051277,"SODIUM CHLORIDE INJECTION 3% ""C.C.P."
A001057100,TANCOSIL S.C. TABLETS
A001059100,DECADOLONE TABLETS
A001068100,"AMPICILLIN CAPSULES 250MG ""SINTON"
A001074100,BACTERCIDE TABLETS
A001085209,"SODIUM CHLORIDE INJECTION ""Y.F."
A001085238,"SODIUM CHLORIDE INJECTION ""Y.F."
A001085248,"SODIUM CHLORIDE INJECTION ""Y.F."
A001085255,"SODIUM CHLORIDE INJECTION ""Y.F."
A001085265,"SODIUM CHLORIDE INJECTION ""Y.F."
A001085277,"SODIUM CHLORIDE INJECTION ""Y.F."
A001086209,"GLUCOSE INJECTION 10% ""Y.F."
A001086238,"GLUCOSE INJECTION 10% ""Y.F."
A001086265,"GLUCOSE INJECTION 10% ""Y.F."
A001086277,"GLUCOSE INJECTION 10% ""Y.F."
A001089100,"METHU S.C. TABLETS ""C.M."
A001093100,SWUNDERPIN CAPSULES
A001112100,TRICO TABLETS
A001113265,GRUONTOU-C INJECTION
A001113277,GRUONTOU-C INJECTION
A001115212,"PROGESTERONE INJECTION 25MG/ML ""Y.F."
A001143100,"PIDONIN TABLETS ""N.T."
A001144100,GINBO TABLETS
A001154100,INDOY CAPSULES
A0011541G0,INDOY CAPSULES
A001155100,"PHENOBARBITAL TABLETS ""JENG SHENG"
A001160100,ENKER TABLETS
A001164100,"POTASSIUM PERMANGANATE TABLETS 0.324 GM ""WASHINGTON"
A001169100,INTALITON CAPSULES
A001170100,VATIN TABLETS
A001177100,"LITALON TABLETS ""LITA"
A001192100,CINBININ TABLETS
A0011921G0,CINBININ TABLETS
A001206100,HISUNSERO CAPSULES
A001208100,"COUSY S.C. TABLETS ""KINGDOM"
A001217100,DIAZEPAM TABLETS
A001226100,"PREDNISOLONE TABLETS 5MG ""S.Y."
A001234209,"KANAMYCIN INJECTION ""G.L."
A001239100,ASMA-S CAPSULES
A001261100,INDOPAN E.C. TABLETS
A001353100,THIOROKAN S.C. TABLETS
A001358100,AMINOPHYLLINE TABLETS
A001386500,"INDOMEN SUPPOSITORIES ""YUNG SHIN"
A001396100,"ERYTHROMYCIN S.C. TABLETS 250MG ""KINGDOM"
A001398100,"NALIDIN TABLETS 500MG ""N.C.P."
A001400100,PROPHYLLIN TABLETS
A001402100,TOLANCOL TABLETS
A001412100,"SHAN YEN TABLETS ""Y.S."
A001413100,VALISIN TABLETS
A001420309,FURAN OINTMENT
A001420321,FURAN OINTMENT
A001420329,FURAN OINTMENT
A0014203CH,FURAN OINTMENT
A001426100,"ALUM GEL ""WASHINGTON"
A001426118,"ALUM GEL ""WASHINGTON"
A001426137,"ALUM GEL ""WASHINGTON"
A001426155,"ALUM GEL ""WASHINGTON"
A001426165,"ALUM GEL ""WASHINGTON"
A001426172,"ALUM GEL ""WASHINGTON"
A001426177,"ALUM GEL ""WASHINGTON"
A001426199,"ALUM GEL ""WASHINGTON"
A001433100,"VITAMIN E TABLETS 50MG ""ORIENTAL"
A001437277,"AMPICILLIN INJECTION 500 MG ""CHI SHENG"
A001446100,"AMPICILLIN CAPSULES 500MG ""SINTON"
A001448100,"NOSCAPINE TABLETS ""YU SHENG"
A001449100,NALIC TABLETS
A001466100,PAPAVERINE HCL TABLETS
A001473277,"AMPICILLIN FOR INJECTION 500MG ""SINTON"
A001488100,DAONIL TABLETS
A001493229,"KANAMYCIN SULFATE INJ. ""SINTON"
A001493238,"KANAMYCIN SULFATE INJ. ""SINTON"
A001531100,ANSULON S.C. TABLETS
A001532100,MEDAZIN CAPSULES 5MG
A001563212,"DIAZEPAM INJECTION 5MG/ML ""ORIENTAL"
A001577100,"TRIPYLINE TABLETS 25MG""HL"
A001584100,"MAGNESIA TABLETS ""WASHINGTON"
A001585100,"UANETHIDINE SULFATE TABLETS ""WASHINGTON"
A001591238,"CHLORAM-S INJETION ""KINGDOM"
A001598100,"RESOZIN S.C. TABLETS ""JOHNSON"
A001599100,MEBRON FILM COATING TABLETS
A001604212,"HOROMPELIN INJECTION ""ORIENTAL"
A001607100,"ZUDAW S.C. TABLETS ""YU SHENG"
A001622277,"DEXTRAN 6% INJECTION IN NORMAL SALINE ""CHI SHENG"
A001624100,GLYCYRRHIZA AND OPIUM COMPOUND TABLETS
A0016241G0,GLYCYRRHIZA AND OPIUM COMPOUND TABLETS 
A001625100,LUMRIN S.C. TABLETS
A001629277,"DEXTRAN 10% INJECTION IN NORMAL SALINE ""CHI SHENG"
A001632100,MINOCIN CAPSULES 100MG
A001637100,TABENEX S.C. TABLETS 250MG
A001641100,CYTADINE TABLETS 4MG
A001644100,"BENTAL TABLETS ""WILSON"
A001646100,"DIAZEPAM TABLETS ""KINGDOM"
A0016461G0,DIAZEPAM TABLETS
A001648100,"JOHNCIDIN S.C. TABLETS ""JOHNSON"
A001662100,"AMINOPHYLLINE TABLETS 100MG ""JOHNSON"
A001673100,CINNAZINE TABLETS
A0016731G0,CINNAZINE TABLETS
A001682100,ZINTONLIN S.C. TABLETS
A001691100,PULIN S.C. TABLETS
A001692100,ASTHIMA CAPSULES
A001701221,"ANTIMIN INJECTION ""C.C.P."
A001701238,"ANTIMIN INJECTION ""C.C.P."
A001702110,"IROSE POWDER FOR SUSPENSION ""KINGDOM"
A001702151,"IROSE POWDER FOR SUSPENSION ""KINGDOM"
A001707100,"AMPICILLIN CAPSULES 500MG ""WAH FOO"
A001713100,"ENZYME TABLETS ""H.C.T."
A001726100,ALIMEZINE TABLETS
A001735100,"KAPIN S.C. TABLETS ""YU SHENG"
A001741100,ASPARA-CA TABLETS
A001779100,"MEDESONE TABLETS ""Y.K."
A001781100,VANMESON TABLETS
A001782100,CABETAN S.C. TABLETS
A001790100,SUVECON S.C. TABLETS
A001793100,"LIGHT SUN CAPSULES ""H.S."
A001799100,WE-WANG TABLETS
A001806100,PROPRANOLOL TABLETS 40MG
A001811100,"AMPICILLIN CAPSULES 250MG ""WAH FOO"
A001816100,VANTYL TABLETS
A001832209,"DEMETHOR INJECTION ""CHI SHENG"
A001833229,"DECAMIN INJECTION ""ORIENTAL"
A001836100,METAZOLE TABLETS
A001850100,"AMPICILLIN CAPSULES 250MG ""PANBIOTIC"
A001853277,AMPOLIN INJECTION 500MG
A001856100,"ERYTHROMYCIN CAPSULES 250MG ""WAH FOO"
A001862100,"KOLIGIN TABLETS ""JEN SHENG"
A001864209,PANMESON INJECTION
A001864229,PANMESON INJECTION
A001865212,"FANIN INJECTION ""PANBIOTIC"
A001866100,"AMPICILLIN CAPSULES 500MG ""PANBIOTIC"
A001867277,"AMPICILLIN INJECTION 500MG ""PANBIOTIC"
A001868209,"AMPICILLIN INJECTION 1000MG ""PANBIOTIC"
A001878212,"PYRIDOXINE HCL INJECTION 100 MG ""CHI SHENG"
A001879209,"PYRIDOXINE HCL INJECTION 50 MG ""CHI SHENG"
A001881100,"CODIMAGEN TABLETS ""N.W."
A001886100,"LICHECHIN TABLETS 10MG (VALETHAMATE BROMIDE) ""C.T."
A001891100,MEPARAN TABLETS
A001894100,"SUMINCURDA TABLETS 10MG (CHLORDIAZEPOXIDE) ""C.T."
A001923229,"CALCIUM GLUCONATE INJECTION ""CHI SHENG"
A001924209,SPARTINE INJECTION 0.15 GM
A001941100,"SUZIN F.C. TABLETS ""YU SHENG"
A0019411G0,"SUZIN F.C. TABLETS ""YU SHENG"
A001946100,PREVOMIC S.C. TABLETS
A0019461G0,PREVOMIC S.C. TABLETS
A001963100,"FUNA TABLETS ""CURIE"
A0019631G0,"FUNA TABLETS ""CURIE"
A001973100,"VITAMIN E CAPSULES ""YU SHENG"
A001982212,VANTYL INJECTION
A001997100,TRANSONE TABLETS
A002031209,MERO INJ.
A002076100,RIOTOL TABLETS
A002078100,MESUCON TABLETS
A002079219,"KANASIDINE INJECTION ""PANBIOTIC"
A002079229,"KANASIDINE INJECTION ""PANBIOTIC"
A002079238,"KANASIDINE INJECTION ""PANBIOTIC"
A002086100,"WEIERNIN TABLETS ""NAN TO"
A002089209,MERO INJ. 1ML
A002101100,"PERONE S.C. TABLETS ""JOHNSON"
A002104100,NYMOLON TABLETS
A002107500,STIN SUPPOSITORIES
A002112100,UROBENIN S.C. TABLETS
A002126100,"WEICHINHO TABLETS ""YU SHENG"
A002131100,AMCLOCILLIN CAPSULES
A002137100,COLWEN TABLETS
A002140100,"VITAMIN B12 S.C. TABLETS ""CHINTENG"
A0021401G0,"VITAMIN B12 S.C. TABLETS ""CHINTENG"
A002160209,LEDERSPAN SUSPEND INJECTION 20MG/ML
A002198100,LUWI-U TABLETS
A002223100,RELASMA TABLETS
A002242100,"UNSULON TABLETS ""CHINTENG"
A002244100,"JINLUN TABLETS ""CHINTENG"
A0022441G0,"JINLUN TABLETS ""CHINTENG"
A002310100,PERIAN TABLETS 4MG
A002314212,"DIANZEM INJECTION ""Y.Y."
A002314221,"DIANZEM INJECTION ""Y.Y."
A002317212,"DIAZEPAM INJECTION ""CHI SHENG"
A002320100,ALEVIATIN TABLETS
A0023201G0,ALEVIATIN TABLETS
A002321212,BUSCOMINE INJECTION
A002323100,"ERYTHROMYCIN ESTOLATE CAPSULES 250MG ""CHI SHENG"
A002325100,NEO-VIBON COMPLEX S.C. TABLETS
A002327209,CLOXAMPLCLN INJ 1GM
A002327277,"CLOXAMPICIN INJECTION ""PANBIOTIC"
A002328100,"BOMIT TABLETS ""C.C.P."
A002341349,"CALAMINE LOTION PHENOLATED AND MENTHOLATED ""SYNMOSA"
A002341351,"CALAMINE LOTION PHENOLATED AND MENTHOLATED ""SYNMOSA"
A002341355,"CALAMINE LOTION PHENOLATED AND MENTHOLATED ""SYNMOSA"
A002341357,"CALAMINE LOTION PHENOLATED AND MENTHOLATED ""SYNMOSA"
A002343100,"THININ TABLETS ""YU SHENG"
A002346100,"IUNAIDON TABLETS ""YU SHENG"
A002355229,"KANAMYCIN INJECTION ""ORIENTAL"
A002359100,"PREDNISOLONE TABLETS ""YU SHENG"
A002362100,"BROSCO TABLETS ""ORIENTAL"
A002368100,NADIS TABLETS
A0023681G0,NADIS TABLETS
A002385100,"PREDNISOLONE TABLETS ""SANTONG"
A002389100,"COMPOUND GLYCYRRHIZIAE TABLETS ""CURIE"
A002393100,THEOLINATE S.C. TABLETS 100MG
A002394238,PAMPARA INJECTION
A002403100,"AMPICILLIN CAPSULES ""KINGDOM"
A002420100,"WEIKA TABLETS ""YUNG SHIN"
A002444100,ANCILLIN CAPSULES 500MG
A002445100,"CLOXAMPICIN CAPSULES 250MG ""PANBIOTIC"
A002479100,ULCERIN-P TABLETS
A002483100,GELAWEN TABLETS
A002504100,FUSEMIDE TABLETS 40MG
A002516100,GLYCEMIDE TABLETS
A002555100,"MAWEI TABLETS ""YU SHENG"
A002558100,THIOZIN S.C. TABLETS 25MG
A002562100,"BENZYMIN S.C. TABLETS ""YU SHENG"
A002569100,STANNEL S.C. TABLETS
A002573100,SKELAXINE TABLETS
A0025731G0,SKELAXINE TABLETS
A002581265,CHIAMINE-S INJECTION
A002581277,CHIAMINE-S INJECTION
A002589100,DIPORAX S.C. TABLETS
A002595100,BALON S.C. TABLETS
A002616100,MEFENA CAPSULES
A002626100,PROSTEN CAPSULES
A002628209,"AMPICILLIN INJECTION 1GM ""N.K."
A002635100,GASTROPAN S.C. TABLETS
A002636100,"AMCLOX CAPSULES 125MG: 125MG ""F.M."
A002638100,CHLOROMYCETIN CAPSULES 250MG
A002644100,"TONIPIN TABLETS ""YU SHENG"
A002650100,CHIN TAN TABLETS
A002652100,"AMPICILLIN CAPSULES ""YU SHENG"
A002657209,"PROGESTERONE INJECTION 2.5% ""ASTAR"
A002657229,"PROGESTERONE INJECTION 2.5% ""ASTAR"
A002657240,"PROGESTERONE INJECTION 2.5% ""ASTAR"
A002658100,LIUMPIN TABLETS
A002663100,"CHINLIPAN TABLETS 2MG (METHANDIENONE) ""C.T."
A002666209,GRAVIBINAN INJECTION
A002667100,PRIMOLUT-NOR TABLETS 5 MG
A002675277,"SODIUM AMPICILLIN INJECTION 500MG ""KINGDOM"
A002678100,"POWEID TABLETS ""F.Y."
A002680100,LIJEX TABLETS
A002684100,"ILITAN TABLETS ""YU SHENG"
A002691100,"THYARON TABLETS ""CHIU PO"
A002699100,"ACETAMINOPHEN TABLETS ""S.S.P."
A002724100,GLAMIDE TABLETS 5MG
A002755100,"COULITAMIN S.C. TABLETS ""Y.S."
A002756100,"YAJUNLO TABLETS ""YU SHENG"
A002759100,"RIBOFLAVIN TABLETS 10MG ""YU SHENG"
A002760100,"THIAN TABLETS ""YU SHENG"
A002763100,"PHENYTOIN TABLETS ""JOHNSON"
A002766100,"ACETAMINOPHEN TABLETS ""CENTRAL"
A002801209,"LACTATED RINGER'S B INJECTION ""Y.F."
A002801265,"LACTATED RINGER'S B INJECTION ""Y.F."
A002801277,"LACTATED RINGER'S B INJECTION ""Y.F."
A002839100,"VITAMIN E CAPSULES 200MG ""C.B.C."
A002844100,"DL-METHYLEPHEDRINE HCL TABLETS ""YU SHENG"
A002845100,"VITAMIN B6 TABLETS 50MG ""YU SHENG"
A002846100,"WANSE S.C. TABLETS ""YU SHENG"
A002848100,"ZUCANLIN CAPSULES 25MG (ANETHOLE) ""C.T."
A002854277,"AMPICILLIN INJECTION 500MG ""N.K."
A002856100,"FULLPHAGEN TABLETS ""F.Y."
A002858100,FURSERPINE TABLETS
A002863100,GLIBEN TABLETS
A0028631G0,GLIBEN TABLETS
A002874100,"VITAMIN K1 FILM COATED TABLETS ""YUNG SHIN"
A002904100,CYPRODIN TABLETS
A002915100,"ESUMIN S.C. TABLETS ""YU SHENG"
A002921100,"MININ S.C. TABLETS ""YU SHENG"
A002938100,MEDAZEPAM CAPSULES
A002947100,"SHITON S.C. TABLETS ""YU SHENG"
A002953100,ETOLE S.C. TABLETS
A002955100,"STOMA-HLIN CAPSULES ""Y.S."
A002956100,"YONG WANG CAPSULES ""T.F."
A002960100,"COLD CAPSULES ""Y.S."
A002961100,METROLE S.C. TABLETS
A002962100,"PREIN TABLETS ""T.F."
A002963100,CALCIUM GLUCONATED
A002964100,SUYUAN S.C. TABLETS
A002971100,"DL-METHYLEPHEDRINE HCL TABLETS ""Y.S."
A002975100,"INDETOLE CAPSULES ""Y.S."
A002976100,"STOMATH TABLETS ""Y.S."
A002979100,EPAL TABLETS
A002985100,EVENIN TABLETS
A002986100,EPOLE S.C. TABLETS
A002987100,"VITA B12 CAPSULES ""Y.S."
A002989100,"PUSIA VITA S.C. TABLETS ""Y.S."
A002992100,"SUIL CAPSULES ""Y.S."
A002994100,"KANGCHINMIN CAPSULES ""Y.S."
A003004209,ALLCOL INJECTION
A003004212,ALLCOL INJECTION
A003006209,TESTENAN DEPOT INJECTION
A003023212,"FUYULIN INJECTION ""ASTAR"
A003025221,"HISTIDINE INJECTION ""SINTON"
A003033212,"ALLERGEN HOUSE DUST EXTRACT ""TORII"" 2ML"
A003078100,"DIURETIC TABLETS 40MG (FUROSEMIDE) ""C.T."
A003084100,"FUZIN CAPSULES ""LITA"
A003086100,"DEXAMETHASONE TABLETS ""Y.S."
A003092100,"ASPIRIN TABLETS 500MG ""S.Y."
A003096100,SOXAZONE TABLETS
A003098100,DITHIAZIDE TABLETS
A0030981G0,DITHIAZIDE TABLETS
A003099100,"ANCOFEN TABLETS ""ORIENT"
A003107100,URICAN S.C. TABLETS
A003109100,"VITAMIN C TABLETS ""HONTEN"
A003115209,"SPARTEINE INJECTION ""ANSHIN"
A003116100,CEDRIC CAPSULES
A003133238,"STERILE WATER FOR INJECTION ""N.K."
A003135100,ANTHALONE S.C. TABLETS
A003156212,"VITA-6 INJECTION ""ANSHIN"
A003157221,"HISTIDINE INJECTION ""ANSHIN"
A003159238,"PARAKERN INJECTION ""PANBIOTIC"
A003160238,"PROCARNE INJECTION ""PANBIOTIC"
A003168100,"GLEUTON TABLETS 2.5MG ""YU SHENG"
A003171100,"DECALON TABLETS ""YU SHENG"
A003173100,FETIRIN S.C. TABLETS 10MG
A003174100,FETIRIN S.C. TABLETS 5MG
A003206100,PASSTON CAPSULES
A003222221,"HISULX INJECTION ""N.K."
A003224100,SUROLE CAPSULES
A003225212,"ANCONMIN INJECTION ""AN SHIN"
A003227100,KEFLEX PULVULES 500MG
A003241100,"PARDIN CAPSULES ""YU SHENG"
A003243100,"TRANTHISON TABLETS ""YU SHENG"
A003244100,"ROUMIN TABLETS ""YU SHENG"
A003245100,"EARMIN TABLETS ""YU SHENG"
A0032451G0,"EARMIN TABLETS ""YU SHENG"
A003263100,ERCAZON TABLETS
A003266100,"D.X. CAPSULES ""LITA"
A003286100,"HYLOMYCIN CAPSULES 250MG ""SWISS"
A0032861G0,"HYLOMYCIN CAPSULES 250MG ""SWISS"
A003291100,"PINSAUN TABLETS ""YU SHENG"
A0032911G0,"PINSAUN TABLETS ""YU SHENG"
A003293209,DIAZEPAM INJECTION
A003293212,DIAZEPAM INJECTION
A003296229,METHASONE INJECTION
A003301100,"DIAZEZIN TABLETS 2MG (DIAZEPAM) ""C.T."
A003311100,"TRIENZYME CAPSULES ""WASHINGTON"
A003314100,YUNSTAN CAPSULES
A003317212,LASIX INJECTION
A003318100,PROMERAN F.C. TABLETS 3.84MG
A0033181G0,PROMERAN F.C. TABLETS 3.84MG
A003325100,DIABE H.C. TABLETS
A003326100,PINGIN TABLETS
A003355212,"DIANLIN INJECTION ""N.K."
A003365100,"PREDNISOLONE TABLETS 5MG ""VPP"
A0033651G0,"PREDNISOLONE TABLETS 5MG ""VPP"
A003367100,"VITAMIN B12 S.C. TABLETS 100MCG ""YU SHENG"
A003373321,FLUCONIN OINT.
A003373329,FLUCONIN OINT.
A003373372,FLUCONIN OINT.
A003373399,FLUCONIN OINT.
A003386209,"ORICORT-IM INJECTION ""ORIENTAL"
A003386212,"ORICORT-IM INJECTION ""ORIENTAL"
A003386221,"ORICORT-IM INJECTION ""ORIENTAL"
A003386229,ORICORT-IM INJECTION
A003388100,"HYDROCHLOROTHIAZIDE TABLETS ""VPP"
A0033881G0,"HYDROCHLOROTHIAZIDE TABLETS ""VPP"
A003389100,"ACETAZOLAMIDE TABLETS 250MG ""VPP"
A003390100,"MEPROBAMATE TABLETS 200MG ""VPP"
A003392100,"ISONIAZID TABLETS ""V.P.P."
A003393100,"CHLORPROMAZINE HCL S.C. TABLETS 100MG ""VPP"
A003403100,"NITROFURANTOIN TABLETS ""Y.S."
A003417209,"STREPTOMYCIN SULFATE FOR INJECTION 1G ""VPP"
A003429100,"VITAMIN K1 S.C. TABLETS ""Y.S."
A003434100,WINTORIN TABLETS
A003440100,"RIBOFLAVIN TABLETS ""R.S.P.P."
A003442100,"CHLORPHENIRAMINE MALEATE TABLETS ""VPP"
A003446221,"ORICORT INJECTION ""ORIENTAL"
A003448100,EPHALINE S.C. TABLETS
A003462100,TAY HOU CHIN S.C. TABLETS
A003468209,"RESERPINE INJECTION ""ASTAR"
A003468212,"RESERPINE INJECTION ""ASTAR"
A003469209,"NEOSTIGMINE INJECTION ""ASTAR"
A003494100,"BETAMETHASONE TABLETS ""LITA"
A003495100,"RELAX TABLETS ""LITA"
A003496100,"F.S. TABLETS ""LITA"
A003534100,DESON TABLETS
A003551100,"PRONALATE TABLETS ""PANBIOTIC"
A003552212,PROMERAN INJECTION
A003554100,COMBANTRIN TABLETS 125MG
A003555100,COMBANTRIN ORAL SUSPENSION
A003555129,COMBANTRIN ORAL SUSPENSION
A003558212,"PROPHYLLIN INJECTION ""ASTAR"
A003559100,"PREDNISLOLNE TABLETS ""TON SHENG"
A003572421,CON-F EYE DROPS
A003573221,PLASLLOID INJECTION
A003601100,"CHLORAMPHENICOL CAPSULES ""CENTRAL"
A003603110,KEFLEX FOR ORAL SUSP. 125MG/5ML
A003603199,KEFLEX FOR ORAL SUSP. 125MG/5ML
A003617100,"AMPICILLIN CAPSULES ""CENTRAL"
A003618212,BARALGIN INJECTION
A003618229,BARALGIN INJECTION
A003619209,"DEXTROSE IN  SALINE INJECTION ""SINTONG"
A003619265,"DEXTROSE IN SALINE INJECTION ""SINTONG"
A003619277,"DEXTROSE IN SALINE INJECTION ""SINTONG"
A003621100,DEXCON TABLETS 10MG
A003622100,HONCALM CAPSULES
A003623100,WESU TABLETS
A003632100,"ANLIN TABLETS ""Y.S."
